epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8888,1.78512,2.91853,1.07888,0.03235,0.41472,0.21883,0.10757,1.61603,3.18753,0.97463,0.00040012,0.00040012,0.00040012
2,127.575,1.5561,1.47159,1.01262,0.96367,0.22012,0.2972,0.1583,1.50725,2.11763,0.96994,0.00080445,0.00080445,0.00080445
3,171.957,1.54738,1.34026,1.01526,0.95607,0.30641,0.3279,0.17447,1.51999,1.16536,1.04041,0.00119852,0.00119852,0.00119852
4,213.804,1.48429,1.19343,1.00514,0.96477,0.31755,0.33732,0.19501,1.39926,1.18973,1.01304,0.00137595,0.00137595,0.00137595
5,257.262,1.46054,1.20679,1.03014,0.65088,0.36324,0.34109,0.19919,1.36122,1.18215,1.00808,0.00135826,0.00135826,0.00135826
6,306.628,1.44238,1.16997,1.0111,0.61387,0.36755,0.3684,0.21202,1.37348,1.03409,0.99513,0.00134058,0.00134058,0.00134058
7,348.401,1.41225,1.1428,0.9959,0.61102,0.39151,0.38291,0.22676,1.25816,0.98956,0.97153,0.0013229,0.0013229,0.0013229
8,390.185,1.37994,1.04894,0.99152,0.9665,0.31291,0.42378,0.22699,1.36222,0.96775,0.98769,0.00130521,0.00130521,0.00130521
9,431.61,1.39669,1.05815,1.01207,0.96825,0.30919,0.43487,0.23875,1.26005,0.93283,0.97548,0.00128753,0.00128753,0.00128753
10,473.381,1.41627,1.0183,0.99908,0.50073,0.53937,0.51127,0.26154,1.41232,0.91185,1.00727,0.00126985,0.00126985,0.00126985
11,514.742,1.3755,1.00291,0.99161,0.50976,0.55,0.55593,0.29729,1.28487,0.89759,0.97279,0.00125216,0.00125216,0.00125216
12,556.205,1.37244,1.00777,1.00437,0.51929,0.49882,0.5381,0.28695,1.30108,0.90936,0.97723,0.00123448,0.00123448,0.00123448
13,599.562,1.34376,0.96118,0.98654,0.53742,0.53411,0.54344,0.29919,1.27832,0.854,0.96629,0.00121679,0.00121679,0.00121679
14,646.575,1.3159,0.92772,0.98845,0.85803,0.53014,0.54879,0.29827,1.28395,0.83951,0.9611,0.00119911,0.00119911,0.00119911
15,688.455,1.32837,0.93,0.97646,0.89214,0.51223,0.55469,0.29464,1.3145,0.86985,0.97208,0.00118143,0.00118143,0.00118143
16,730.987,1.34832,0.91203,0.96156,0.90227,0.505,0.54722,0.30107,1.24002,0.82187,0.95447,0.00116374,0.00116374,0.00116374
17,772.936,1.3263,0.88046,0.97433,0.89022,0.50879,0.56608,0.30302,1.30879,0.83233,0.97212,0.00114606,0.00114606,0.00114606
18,814.969,1.33699,0.88591,0.95753,0.90555,0.50108,0.55289,0.29949,1.31704,0.84237,0.97235,0.00112837,0.00112837,0.00112837
19,856.512,1.26363,0.86952,0.96347,0.72647,0.61321,0.69659,0.39974,1.23291,0.77309,0.9516,0.00111069,0.00111069,0.00111069
20,897.939,1.26177,0.8342,0.96425,0.76073,0.69135,0.7497,0.43072,1.25342,0.75784,0.95356,0.00109301,0.00109301,0.00109301
21,939.443,1.26325,0.82129,0.95503,0.79795,0.73438,0.80538,0.45055,1.2723,0.75256,0.95475,0.00107532,0.00107532,0.00107532
22,1005.54,1.24287,0.78852,0.95237,0.82945,0.78375,0.8682,0.4931,1.2554,0.70906,0.95787,0.00105764,0.00105764,0.00105764
23,1079.6,1.25139,0.76106,0.95787,0.95681,0.82858,0.8885,0.50378,1.3019,0.72243,0.9581,0.00103995,0.00103995,0.00103995
24,1153.53,1.25082,0.75107,0.94563,0.94735,0.83084,0.88268,0.52093,1.26445,0.68225,0.95473,0.00102227,0.00102227,0.00102227
25,1210.91,1.23391,0.70909,0.94392,0.91978,0.83752,0.89146,0.52601,1.25043,0.68569,0.9561,0.00100459,0.00100459,0.00100459
26,1285.38,1.2323,0.72838,0.94548,0.92215,0.84375,0.88798,0.52279,1.24121,0.69274,0.95783,0.000986903,0.000986903,0.000986903
27,1360.12,1.26576,0.74506,0.96355,0.93357,0.84569,0.88296,0.50838,1.29218,0.68676,0.9667,0.000969219,0.000969219,0.000969219
28,1434.1,1.2376,0.72193,0.94097,0.96289,0.84107,0.89364,0.53753,1.21725,0.63005,0.94585,0.000951535,0.000951535,0.000951535
29,1508.12,1.21643,0.71993,0.96219,0.95616,0.83455,0.90337,0.49807,1.36422,0.64886,0.97175,0.000933851,0.000933851,0.000933851
30,1583.27,1.26391,0.72192,0.937,0.97139,0.81918,0.90818,0.53078,1.23158,0.63464,0.94253,0.000916168,0.000916168,0.000916168
31,1658.87,1.23239,0.70521,0.94951,0.95741,0.82848,0.90507,0.52796,1.2682,0.62615,0.95612,0.000898484,0.000898484,0.000898484
32,1733.07,1.19728,0.67743,0.95142,0.9442,0.83533,0.88959,0.52232,1.25053,0.62382,0.94769,0.0008808,0.0008808,0.0008808
33,1807.9,1.19359,0.65983,0.9246,0.95438,0.83863,0.90222,0.53521,1.22423,0.61391,0.93986,0.000863116,0.000863116,0.000863116
34,1883.8,1.21068,0.6607,0.93621,0.94774,0.84005,0.88446,0.53393,1.1886,0.6151,0.93672,0.000845432,0.000845432,0.000845432
35,1958.48,1.18283,0.66806,0.94419,0.91975,0.85172,0.90669,0.52905,1.21207,0.63236,0.94075,0.000827748,0.000827748,0.000827748
36,2033.78,1.15711,0.65507,0.93707,0.97922,0.84165,0.90493,0.5426,1.19171,0.60037,0.93696,0.000810064,0.000810064,0.000810064
